波段,补偿前RMSE,补偿后RMSE,改善幅度
短波蓝光 (380-480nm),0.542,0.2828,47.8%
青绿过渡 (480-540nm),0.6149,0.0623,89.9%
黄绿敏感区 (540-590nm),0.5952,0.0668,88.8%
橙红暖色 (590-680nm),0.5148,0.0916,82.2%
深红边缘 (680-780nm),0.4114,0.359,12.7%
