component,explained_variance_ratio,cumulative_variance_ratio
1,0.9985858080954708,0.9985858080954708
2,0.0010419214094070522,0.9996277295048779
3,0.0001921831554748958,0.9998199126603527
4,0.0001237243984661501,0.999943637058819
5,3.202843358047081e-05,0.9999756654923995
