feature,importance
outdoor_lux,0.9656739453128235
hour,0.012282393031856203
humidity,0.007754864896049452
temperature,0.007598661589108465
solar_altitude,0.004980404931793033
weather,0.0008490081758416909
cloud_cover,0.0007533034296363207
precipitation,0.00010741863289143812
