model,MAE,RMSE,R2
Random Forest,0.011173,0.014105,0.943237
KNN Regression,0.011825,0.015083,0.935635
Decision Tree,0.012504,0.015892,0.925298
Linear Regression,0.014224,0.018069,0.905108
