wavelength_nm,relative_intensity
380,0.7465585613423953
390,0.7820700541546642
400,0.8123039346681002
410,0.8327933807546488
420,0.8436963873344637
430,0.8584840448681197
440,0.8887038401404684
450,0.9245903488109847
460,0.9517354779459398
470,0.9688461529998466
480,0.9803997203620082
490,0.9888423318905942
500,0.9948128838984678
510,0.99849296092746
520,1.0
530,0.9993783346564311
540,0.9963762425344279
550,0.990006889584146
560,0.9785388270381951
570,0.9613597559724233
580,0.9420608799483489
590,0.9276333391836968
600,0.9217359151289711
610,0.9204651626263155
620,0.9170631900413266
630,0.9082297576654804
640,0.8941070246955943
650,0.8748654324775738
660,0.849773226746849
670,0.8198283427456006
680,0.7904001378380968
690,0.769058178658829
700,0.7590874876119328
710,0.7562403971501258
720,0.753063881887707
730,0.74515346638443
740,0.7326021045504503
750,0.7174448139615582
760,0.7013561283406079
770,0.6851347335040469
780,0.6690538870001004
