sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux
72,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.2,11070.0
73,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.4,11260.0
74,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.5,11530.0
75,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.6,11880.0
76,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.8,12400.0
77,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,26.9,12940.0
78,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.1,13520.0
79,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.2,14070.0
80,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.4,14540.0
81,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.5,14950.0
82,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.6,15360.0
83,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.8,15700.0
84,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,27.9,16080.0
85,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.1,16500.0
86,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.2,16900.0
87,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.4,17200.0
88,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.5,17430.0
89,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.6,17450.0
90,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.8,17160.0
91,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,28.9,16530.0
92,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,29.0,15700.0
93,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,29.2,14820.0
94,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,29.3,14010.0
95,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,29.5,13370.0
96,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,29.6,12820.0
97,2016-03-16,9,巴黎,雨,0.94,0.78,3.1,0.3,29.7,12370.0
98,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,29.9,11970.0
99,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.0,11680.0
100,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.1,11440.0
101,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.3,11290.0
102,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.4,11130.0
103,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.5,11030.0
104,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.7,11030.0
105,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.8,11150.0
106,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,30.9,11330.0
107,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.1,11420.0
108,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.2,11320.0
109,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.3,10940.0
110,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.5,10430.0
111,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.6,9990.0
112,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.7,9780.0
113,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,31.8,9840.0
114,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.0,10190.0
115,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.1,10800.0
116,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.2,11580.0
117,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.3,12340.0
118,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.5,12780.0
119,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.6,12820.0
120,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.7,12490.0
121,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,32.8,12090.0
122,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.0,12020.0
123,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.1,12140.0
124,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.2,12400.0
125,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.3,12880.0
126,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.5,13630.0
127,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.6,14240.0
128,2016-03-16,10,巴黎,雨,0.94,0.78,3.1,0.3,33.7,14630.0
129,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,33.8,15200.0
130,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,33.9,15710.0
131,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.1,15770.0
132,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.2,15360.0
133,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.3,14970.0
134,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.4,14710.0
135,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.5,14800.0
136,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.6,15010.0
137,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.7,15240.0
138,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,34.9,15380.0
139,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.0,15350.0
140,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.1,15130.0
141,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.2,14690.0
142,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.3,14100.0
143,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.4,13450.0
144,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.5,12910.0
145,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.6,12620.0
146,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.7,12490.0
147,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,35.9,12370.0
148,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.0,12290.0
149,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.1,12500.0
150,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.2,12760.0
151,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.3,12820.0
152,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.4,12700.0
153,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.5,12400.0
154,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.6,12180.0
155,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.7,12340.0
156,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.8,12780.0
157,2016-03-16,10,巴黎,雨,0.96,0.75,3.9,0.7,36.9,13250.0
158,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.0,13750.0
159,2016-03-16,11,巴黎,雨,0.96,0.75,3.9,0.7,37.1,14280.0
